Ticker,Sector
AAPL,Technology
AON,Financial Services
BK,Financial Services
COST,Consumer Defensive
FDX,Industrials
MSFT,Technology
JNJ,Healthcare
PG,Consumer Defensive
XOM,Energy
KO,Consumer Defensive
PEP,Consumer Defensive
MCD,Consumer Cyclical
PFE,Healthcare
MRK,Healthcare
INTC,Technology
JCI,Industrials
HD,Consumer Cyclical
CVX,Energy
WMT,Consumer Defensive
DIS,Communication Services
IBM,Technology
T,Communication Services
GE,Industrials
UNH,Healthcare
ADBE,Technology
CSCO,Technology
BA,Industrials
CAT,Industrials
GS,Financial Services
NVDA,Technology
AMZN,Consumer Cyclical
GOOGL,Communication Services
GOOG,Communication Services
SPGI,Financial Services
